file,urgency,category,one_line_summary,suggested_next_action,owner,confidence,gate,gate_reason,status,error
msg01.txt,high,outage,"Customer reports their checkout has been returning 500 errors for 40 minutes, blocking all orders and causing lost sales.","Page on-call engineering to check platform/API status for this account, then reply within minutes with an acknowledgment and a call/bridge link for Priya.",Engineering on-call / Incident Response (with Customer Support comms),0.95,needs_review,flagged high urgency,ok,
msg02.txt,high,billing,"Customer billed for wrong seat count for the third time this quarter, ignored twice, and is threatening to cancel and dispute charges if not resolved by Friday.","Have a named billing/account manager phone Derek directly today, pull the last three invoices to confirm the seat-count error, issue a corrected invoice with a written explanation of the root cause, and confirm all before Friday to prevent cancellation and chargebacks.",Billing / Account Management (with escalation to Customer Success leadership for retention),0.95,needs_review,flagged high urgency,ok,
msg03.txt,high,outage,"Payroll batch failed on payday, leaving ~140 employees unpaid with a hard bank cutoff this afternoon.","Immediately page on-call IT/finance ops to phone Monica, diagnose the failed payroll batch, and reprocess or initiate a manual/off-cycle payment run before the bank's afternoon cutoff.",IT operations (on-call) jointly with Finance Ops/Payroll,0.93,needs_review,flagged high urgency,ok,
msg04.txt,low,internal,"Internal colleague asks someone to confirm that a ~20% drop in EU regional sales dashboard numbers is just the usual monthly currency-conversion lag, as he suspects.",Have the analytics/BI team check the EU dashboard's FX conversion refresh timing and reply to Tom confirming whether the dip is the expected monthly lag or a genuine data issue.,Data / Business Intelligence (Analytics),0.86,auto_cleared,,ok,
msg05.txt,low,unclear,Alex from Fernwood Partners is following up on an unspecified prior discussion and mentions a second unnamed item to discuss later.,"Search inbox/CRM for prior correspondence with alex.p@fernwoodpartners.com to identify the topic, then reply asking for specifics if no thread is found.",Inbox owner / account manager for Fernwood Partners,0.83,auto_cleared,,ok,
msg06.txt,low,spam,Unsolicited cold outreach from an SEO agency offering a 'free audit' with artificial 24-hour urgency and vague claims of website problems.,"No response needed — mark as spam, block the sender domain, and delete.",None / IT-Email Admin,0.96,auto_cleared,,ok,
msg07.txt,low,billing,"Client finance contact asks for clarification on an unfamiliar ""platform fee"" line item on invoice #4471 while reconciling monthly books.","Pull invoice #4471 and the underlying contract/order form, confirm what the platform fee covers, and reply to Rosalind with a plain-language breakdown before her month-end close.",Billing / Accounts Receivable,0.94,auto_cleared,,ok,
msg08.txt,low,internal,Ben requests moving the recurring Thursday 10am planning sync to Friday 10am this week due to a conflict.,"Confirm attendee availability for Friday 10am and update the calendar invite, keeping the same room and agenda.",Internal team / meeting organizer (admin or ops),0.95,auto_cleared,,ok,
msg09.txt,low,vendor,NimbusCloud account manager is proactively checking in about a contract renewal roughly six weeks out and offering a call or email discussion about usage and plan tier.,"Route to the account/contract owner to review current usage and plan tier, then reply within the next week or two to either schedule a short call or confirm renewal terms by email; add the renewal date to the calendar with a reminder.",Procurement / Vendor Management (with input from the IT or team owner of the NimbusCloud account),0.92,auto_cleared,,ok,
msg10.txt,low,internal,Employee Farah Nasser requests PTO for the 19th-23rd and offers to hand off open tickets beforehand.,"Have her manager/HR check team coverage for that week and approve or decline the PTO request in the leave system, then reply to Farah.",HR / People Ops (with Farah's line manager),0.95,auto_cleared,,ok,
msg11.txt,low,internal,Employee Diego Salazar requests VPN access and a reporting tool login for the Q4 forecasting project.,"Send Diego the standard access request form, verify with the Q4 project owner/manager that the access is approved, then provision VPN and reporting tool accounts.",IT / Internal Support (identity & access management),0.94,auto_cleared,,ok,
msg12.txt,low,internal,Ilana is asking when this week's data will refresh on the shared dashboard so she can prep for a Wednesday marketing review.,"Check the dashboard/ETL refresh schedule and reply with the expected refresh time (before Wednesday), noting whether current figures are last week's.",Data / Analytics (BI) team,0.72,needs_review,confidence 0.72 is below the 0.75 threshold,ok,
